symbol,industry,sector,longBusinessSummary,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,dividendRate,dividendYield,payoutRatio,fiveYearAvgDividendYield,enterpriseValue,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,lastDividendValue,lastDividendDate,totalDebt,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins
VLA.PA,Biotechnology,Healthcare,"Valneva SE, a specialty vaccine company, develops, manufactures, and commercializes prophylactic vaccines for infectious diseases with unmet needs. It offers IXIARO, an inactivated Vero cell culture-derived Japanese encephalitis vaccine indicated for active immunization against Japanese encephalitis; DUKORAL, an oral vaccine for the prevention of diarrhea caused by Vibrio cholera and/or heat-labile toxin producing enterotoxigenic Escherichia coli bacterium; IXCHIQ, a single-dose, live-attenuated vaccine for the prevention of disease caused by chikungunya virus; and VLA2001, an inactivated whole-virus COVID-19 vaccine. The company also develops VLA15, a vaccine candidate, which is in Phase III clinical trial against Borrelia, the bacterium that causes Lyme disease; VLA1553, a vaccine candidate, which is in Phase III clinical trial against the chikungunya virus; VLA1554, a vaccine candidate targeting human metapneumovirus; and VLA2112, a vaccine candidate to treat patients with epstein-barr virus. It sells its products in the United States, Canada, Germany, Austria, Nordics, the United Kingdom, France, rest of European countries, and internationally. Valneva SE has collaborations with Pfizer, Inc. to co-develop and commercialize its Lyme disease vaccine; and Instituto Butantan for the development, manufacturing, and marketing of single-shot chikungunya vaccine. The company was founded in 1998 and is based in Saint-Herblain, France.",676.0,6.0,5.0,10.0,6.0,8.0,,,,,479136288.0,1.726,4.298,2.11334,,,201248000.0,-147133328.0,-142655008.0,,0.204,-0.03202
MEDCL.PA,Biotechnology,Healthcare,"MedinCell S.A., a pharmaceutical company, develops long acting injectables in various therapeutic areas in France. It develops solutions based on BEPO, a long-acting injectable technology; and offers UZEDY (mdc-IRM) for the treatment of schizophrenia in adults. The company's products in development include mdc-CWM, a sustained-release formulation of celecoxib in Phase III trials for use in the treatment of reduction of postoperative pain and inflammation; and mdc-TJK, a subcutaneous injection that is in Phase III clinical trials for use in the treatment of schizophrenia. Its product candidates in preclinical trials include mdc-WWM for contraception; and mdc-STM for malaria. MedinCell S.A. was incorporated in 2003 and is headquartered in Jacou, France.",134.0,9.0,8.0,10.0,10.0,9.0,,,,,542644032.0,8.55,19.0,16.6072,,,64706000.0,-10601125.0,-11922000.0,,-0.367,1.0
AMUN.PA,Asset Management,Financial Services,"Amundi is a publically owned investment manager. The firm engages in the asset management business. The company provides a range of retail products and solutions through quasi-exclusive distribution agreements with the retail banking networks of the Crédit Agricole and the Société Générale groups in France; and through international partner networks and joint ventures outside France, as well as through third-party distributors primarily in France, rest of Europe, and Asia. It also offers management and advisory services for various pension funds, insurers, and sovereigns; and treasury management and employee savings solutions for corporate customers through global relationship managers supported by sales and marketing staff in 30 countries. It was formerly known as Amundi Group. The company was founded in 1982 and is headquartered in Paris, France. Amundi Group operates as a subsidiary of Credit Agricole S.A.",5500.0,2.0,5.0,3.0,2.0,4.0,4.1,0.061100002,0.6942,,10256843776.0,58.75,72.35,64.164,4.1,1717372800.0,20410226688.0,,,0.102,0.105,0.53905
SFPI.PA,Specialty Industrial Machinery,Industrials,"GROUPE SFPI SA designs, manufactures, and markets equipment for the safety industry in Europe and internationally. The company operates through DOM Security, NEU-JKF, MMD, MAC, and Other divisions. It offers closure equipment, such as windows and joinery, shutters and blinds, entrance and garage doors, industrial closures, carpentry, and awnings for building industry under the France Fermetures, Franciaflex, Faber, SIPA Menuiseries, and Wo&Wo brands. The company also provides access and locking solutions for buildings, homeowners, small businesses, and large companies. In addition, it offers air treatment solutions, such as dust removal systems, air filtration and conditioning equipment, pneumatic treatment equipment for production waste, pneumatic transport equipment, industrial fans, etc. Further, the company provides thermal processing and sterilization solutions. GROUPE SFPI SA was founded in 1985 and is headquartered in Paris, France.",4084.0,10.0,10.0,6.0,8.0,10.0,0.03,0.0155,0.6,,146835536.0,1.64,2.34,1.9923,0.03,1718928000.0,104602000.0,40288500.0,64668000.0,0.505,-0.042,0.58422
LIN.PA,Software - Application,Technology,"Linedata Services S.A. develops, publishes, and distributes financial software in Southern Europe, Northern Europe, North America, and Asia. It operates through Asset Management and Lending & Leasing segments. The company provides solutions for asset managers and servicers, such as order management trading, investment compliance, risk management, and oversights; software for fund accounting, fund oversight, and transfer agency; analytics and data services; reconciliation solution and expense management; and investment data analytics and cognitive investment data management. It also offers solutions for lenders and lessors, such as commercial and syndicated lending, as well as for automotive, consumer, and equipment finance; and digitalization, marketplace, outsourced spreading, professional and hosting, and remarketing services, as well as business process as a service. In addition, the company provides advisory, risk and research, middle and office, and risk services, as well as technology solutions. Linedata Services S.A. was incorporated in 1998 and is headquartered in Neuilly-sur-Seine, France.",1307.0,8.0,9.0,9.0,8.0,9.0,1.75,0.020599999,,3.34,486624416.0,60.2,87.2,82.536,1.75,1720396800.0,110381000.0,33424500.0,49364000.0,0.247,0.025,0.32249
GNFT.PA,Biotechnology,Healthcare,"Genfit S.A., a late-stage biopharmaceutical company, discovers and develops drug candidates and diagnostic solutions for metabolic and liver-related diseases. The company develops Elafibranor, which is in Phase III clinical trial to treat patients with primary biliary cholangitis. It also engages in the development of NIS4 technology for the diagnosis of nonalcoholic steatohepatitis (NASH) and fibrosis; VS-01 for the treatment of Urea Cycle Disorder (UCD) and Organic Acidemia Disorder (OAD); GNS561, which is in Phase 1b/2a trial to treat patients with cholangiocarcinoma (CCA); VS-01-ACLF and Nitazoxanide (NTZ), which is in Phase 1 trial to treat acute-on-chronic liver failure, as well as VS-02-HE, which is in preclinical trial for the treatment of Reduction of Hyperammonemia and the Stabilization of Blood Ammonia; CML-022; SRT-015, an ASK1 inhibitor targets the inhibition of cellular apoptosis, inflammation, and fibrosis. The company has a licensing agreement with Labcorp for the commercialization of NASHnext, a blood-based molecular diagnostic test; and Genoscience Pharma to develop and commercialize the investigational treatment GNS561 for CCA. The company was incorporated in 1999 and is headquartered in Loos, France.",169.0,8.0,7.0,5.0,5.0,5.0,,,,,193314816.0,3.025,5.86,3.5557,,,67804000.0,-50663248.0,-41542000.0,,3.044,1.0
LNA.PA,Medical Care Facilities,Healthcare,"LNA Santé SA engages in the management and operation of health establishments. The company operates retirement homes, medical and rehabilitation care, home hospital, surgery, mental health clinic, and health center. LNA Santé SA was founded in 1990 and is based in Vertou, France.",7835.0,4.0,7.0,7.0,6.0,7.0,0.6,0.0273,,1.38,1034314496.0,18.76,28.4,22.948,0.6,1720396800.0,870280000.0,83992496.0,120455000.0,0.039,0.071,0.32589
METEX.PA,,,,,,,,,,,,,,,,,,,,,,,,,
SWP.PA,Software - Application,Technology,"Sword Group S.E. provides IT and software solutions worldwide. The company provides strategic and operational, engineering and application development, project management assistance and management work, and infrastructure management and application maintenance solutions for third parties and resource outsourcing. It also offers Sword Phusion, an engineering information management software; Sword Tell, a CAD software for watch manufacturers and other industry sectors; Sword Venue, a toolbox to draw, measure, and identify event spaces and floorplans; and Sword Aequos that helps organizations to focus on their primary business by implementing collaborative tools and solutions supporting their day-to-day reality. In addition, the company provides digital, data and AI, digital workplace, platform and security, digital transformation, and managed services. Sword Group S.E. was founded in 2000 and is headquartered in Windhof, Luxembourg.",2230.0,,,,,,1.7,0.049200002,0.7981,4.13,341091584.0,29.85,39.15,35.094,1.7,1714435200.0,61084000.0,31897376.0,21163000.0,-0.201,0.074,0.42672002
VETO.PA,Drug Manufacturers - Specialty & Generic,Healthcare,"Vetoquinol SA, a veterinary pharmaceutical company, designs, develops, and sells veterinary drugs and non-medicinal products in Europe, the Americas, and the Asia Pacific region. It provides products in the areas of mobility, pain, and inflammation; dermatology, hygiene, and care; anti-parasite; udder health; infectious diseases; reproduction; behavior management; internal medicine; and cardiology-nephrology for cattle, sheep, pigs, poultry, dogs, cats, and horses. The company was founded in 1933 and is headquartered in Lure, France. Vetoquinol SA is a subsidiary of Soparfin SCA.",2519.0,10.0,9.0,9.0,8.0,9.0,0.85,0.0117,0.213,0.71,717198144.0,63.6,106.2,73.85,0.85,1717459200.0,20892000.0,69297752.0,85858000.0,-0.261,0.032,0.5348
TNG.PA,Biotechnology,Healthcare,"Transgene SA, a biotechnology company, focuses on designing and developing therapeutic vaccines and oncolytic viruses for the treatment of cancer in France. It involved in developing TG4050, a therapeutic vaccine that is in Phase I clinical trial for the treatment of ovarian cancer, and head and neck cancers; TG4001, a therapeutic vaccine, which is in Phase II clinical trial for the treatment of HPV-positive cancers; TG6002, an oncolytic virus that is in Phase I/IIa clinical trial for the treatment of gastrointestinal and colorectal cancers; and BT-001, an oncolytic virus, which is in Phase I/II clinical trial for the treatment of solid tumors. The company also develops TG1050, a therapeutic vaccine for the treatment of hepatitis B; TG6050 for the treatment of non-small cell lung cancer, and Pexa-Vec, an oncolytic virus for the treatment of solid tumors. It has strategic collaboration agreements with AstraZeneca, Merck KGaA, Pfizer, and NEC Corporation; licensing agreements with SillaJen, Ascend BioPharmaceutical, and Valneva; and agreements with Merck & Co, Sanofi, BioInvent, and Randox. Transgene SA was incorporated in 1979 and is headquartered in Illkirch-Graffenstaden, France. Transgene SA is a subsidiary of TSGH SAS.",146.0,,,,,,,,,,91022200.0,0.656,1.52,0.7119,,,36783000.0,5601875.0,-35544000.0,,-0.295,
TRI.PA,Recreational Vehicles,Consumer Cyclical,"Trigano S.A., together with its subsidiaries, designs, manufactures, markets, and sells leisure vehicles for individuals and professionals in Europe. It offers camping cars, caravans, motorhomes, trailers, and outdoor habitats. The company also provides mobiles homes, spare parts, and accessories, as well as leisure financing services. It offers its products through dealer networks and distributors, as well as through its online sales site, Triganostore.com. Trigano S.A. was founded in 1935 and is based in Paris, France.",9115.0,6.0,9.0,8.0,8.0,9.0,5.25,0.0427,0.1843,2.64,2349502464.0,95.6,163.8,123.224,1.75,1728259200.0,205300000.0,-91087504.0,63400000.0,0.484,0.184,0.34528
BVI.PA,Consulting Services,Industrials,"Bureau Veritas SA provides laboratory testing, inspection, and certification services. It operates through six segments: Marine & Offshore; Agri-Food & Commodities; Buildings & Infrastructure; Industry; Certification; and Consumer Products. The company engages in inspecting, analyzing, auditing, and certifying the products, assets, and management systems of its clients in relation to regulatory or self-imposed standards, as well as issues compliance reports. It also provides laboratory and on-site testing services for manufacturing and process industries; inspection services for products, services, assets, and installations, as well as various services designed to control quality, verify quantity, and meet regulatory requirements; and certification services for management systems, products, and people. The company serves automotive and transportation, building and infrastructure, chemicals, commodities and agriculture, consumer products and retail, food, marine and offshore, oil and gas, and power and utilities industries, as well as financial services and public sectors. It operates in approximately 140 countries through a network of offices and laboratories. Bureau Veritas SA was founded in 1828 and is headquartered in Neuilly-sur-Seine, France.",77722.0,5.0,6.0,4.0,7.0,5.0,0.83,0.0279,0.7545,2.62,14917673984.0,24.46,31.54,29.5076,0.83,1719878400.0,3045900032.0,735962496.0,860000000.0,-0.002,0.042,0.29787
GFC.PA,REIT - Office,Real Estate,"As a specialist for centrality and uses, Gecina operates innovative and sustainable living spaces. A real estate investment company, Gecina owns, manages and develops a unique portfolio at the heart of the Paris Region's central areas, with more than 1.2 million sq.m of offices and more than 9,000 housing units, almost three-quarters of which are located in Paris City or Neuilly-sur-Seine. These portfolios are valued at 17.1 billion euros at end-June 2024. Gecina has firmly established its focus on innovation and its human approach at the heart of its strategy to create value and deliver on its purpose: Empowering shared human experiences at the heart of our sustainable spaces. For our 100,000 clients, this ambition is supported by our client-centric brand YouFirst. It is also positioned at the heart of UtilesEnsemble, our program setting out our solidarity-based commitments to the environment, to people and to the quality of life in cities. Gecina is a French real estate investment trust (SIIC) listed on Euronext Paris, and is part of the SBF 120, CAC Next 20, CAC Large 60 and CAC 40 ESG indices. Gecina is also recognized as one of the top-performing companies in its industry by leading sustainability benchmarks and rankings (GRESB, Sustainalytics, MSCI, ISS-ESG and CDP).",458.0,4.0,2.0,2.0,1.0,1.0,5.3,0.0558,2.3144,5.03,13576069120.0,85.15,107.6,91.06,2.65,1719878400.0,6920549888.0,395467008.0,546339968.0,,0.027,0.74751
NXI.PA,Real Estate - Diversified,Real Estate,"Nexity SA operates as a real estate company in Europe and internationally. The company operates through Development, Services, and Other Activities divisions. It develops new homes and subdivisions; and new or refurbished office buildings, high-rises building, business parks, logistics facilities, retail property, hotels, and other industrial spaces. The company also provides property management services comprising rental management, sales and lettings, and condominium managing agent services, as well as manages serviced residences for students; distributes real estate products under the iSelection and PERL brands; offers insurance brokerage and asset management services; and real estate services, including rental management and property management services, consulting, and short-term rental of working spaces. In addition, it engages in the villes and projets, and pre-development urban regeneration projects; and investment activities. The company serves individual, corporate, institutional, and local authority clients. Nexity SA was founded in 1995 and is headquartered in Paris, France.",4619.0,6.0,4.0,7.0,1.0,5.0,,,,9.93,2455836160.0,8.335,15.05,12.409,2.5,1684886400.0,2327012096.0,284138240.0,257032000.0,3.754,-0.164,0.30677
CAFO.PA,Home Improvement Retail,Consumer Cyclical,"Centrale d'Achat Française pour l'Outre-Mer Société Anonyme provides home furnishing products in South-East Asia, South America, Europe, and Middle East. The company offers household appliance products and services under DARTY; home equipment under BUT; design manufacturing under Habitat; natural and wellness products under the Nature & Discoveries; furniture, decoration, and appliances under BUT Cosy; and musical instruments under the Music & Sound brands in Guadeloupe, French Guiana, Martinique, Saint-Martin, Reunion Island, and New Caledonia. It also operates Vente-Unique.com, a B2C platform that engages in the online sale of furniture for individuals; and DirectLowCost.com that supplies furniture and decoration products for distribution professionals. The company was founded in 1985 and is based in Paris, France.",1034.0,,,,,,0.21,0.026099999,0.1304,,193264432.0,7.62,9.98,7.9652,0.21,1719273600.0,149156992.0,37425248.0,41216000.0,0.27,0.03,0.48452
CATG.PA,Recreational Vehicles,Consumer Cyclical,"SA Catana Group manufactures and catamarans and related services in France and internationally. The company markets its products under the CATANA, BALI, and Port Pin Roland brand names. SA Catana Group was incorporated in 1993 and is headquartered in Canet-en-Roussillon, France.",738.0,10.0,10.0,4.0,9.0,9.0,0.15,0.0319,0.1899,,132469864.0,4.085,5.85,5.0283,0.18,1741046400.0,47885000.0,-13244875.0,7733000.0,0.537,0.114,0.58222
CBOT.PA,Real Estate - Diversified,Real Estate,"CBo Territoria SA operates as a real estate company in France. It operates through three segments: Real Estate, Promotion, and Other. The company invests in commercial assets, including retail, offices, and industrial premises; and develops housing properties, consisting of social housing, affordable housing, and serviced residences, as well as offers land planning services. It manages leisure activities through Le Jardin d'Eden (The Garden of Eden) the offers private and corporate events; Bassin Bleu Golf Club, a golf course area, and accepts corporate events, such as conference room and catering services; and Beauséjour SportClub for sporting activities. In addition, the company is involved in the coworking centres business. The company was incorporated in 2004 and is headquartered in Sainte-Marie, France.",45.0,,,,,,0.24,0.0656,0.72730005,6.56,282403168.0,3.46,3.83,3.585,0.24,1718150400.0,178644000.0,37198876.0,28099000.0,-0.203,-0.156,0.48224998
ENGI.PA,Utilities - Diversified,Utilities,"ENGIE SA engages in the power, natural gas, and energy services businesses. It operates through Renewables, Networks, Energy Solutions, FlexGen, Retail, Nuclear, and Others segments. The Renewables segment comprises renewable energy generation activities, including financing, construction, operation, and maintenance of renewable energy facilities using various energy sources, such as hydroelectric, onshore wind, photovoltaic solar, offshore wind, and geothermal. The Networks segment comprises the electricity and gas infrastructure activities and projects, including the management and development of gas and electricity transportation networks and natural gas distribution networks in and outside of Europe, natural gas underground storage in Europe, and regasification infrastructure in France and Chile. The Energy Solutions encompasses the construction and management of decentralized energy networks to produce energy and related services. The FlexGen segment operates flexible thermal generation and electricity, pumping, and battery storage facilities; solutions for decarbonizing industry with low-carbon hydrogen; and financing, construction, and operation of desalination plants. The Retail segment engages in the sale of gas and electricity to professional, individual, and residential clients. The Nuclear segment engages in the nuclear power generation activities. The others segment sells energy to companies and offers energy management services and solutions. The company was formerly known as GDF SUEZ S.A. and changed its name to ENGIE SA in April 2015. The company was founded in 1880 and is headquartered in Courbevoie, France.",97000.0,5.0,4.0,2.0,10.0,4.0,1.43,0.088599995,0.7079,6.0,75782029312.0,13.07,16.39,15.3892,1.43,1714608000.0,49379999744.0,375375008.0,12567000064.0,,-0.202,0.31299
ALO.PA,Railroads,Industrials,"Alstom SA provides solutions for rail transport industry in Europe, the Americas, Asia and Pacific, the Middle East, Central Asia, and Africa. The company offers rolling stock solutions comprising people movers and monorails, light rails, metros, commuter trains, regional trains, high-speed trains, and locomotives; asset optimization, cybersecurity, connectivity, digital passenger, and security and city mobility solutions; and signaling products, such as urban, mainline, and freight and mining signaling. It also provides APM, monorail, tram, metro, and main line systems; and tracklaying and track solutions, catenary free and ground feeding solutions, electrification solutions, and electromechanical equipment, as well as cybersecurity solutions. In addition, the company provides maintenance, modernization, overhaul, parts and repair, and support services. Further, it offers various components, including bogies, motors and generators, friction brakes, switchgears, gearboxes, traction and auxiliary converters, transformers, components propulsion, green traction solutions, interiors and train control and information systems, hydrogen and battery solutions, and dispen dampers. The company was founded in 1928 and is based in Saint-Ouen, France.",78684.0,1.0,3.0,1.0,1.0,2.0,,,,2.8,12443750400.0,11.095,23.36,20.8411,0.23578,1689552000.0,3560000000.0,834750016.0,957000000.0,35.977,0.039,0.12673001
ETL.PA,Communication Equipment,Technology,"Eutelsat Group, together with its subsidiaries, operates telecommunication satellites. The company provides capacity for video, fixed and mobile connectivity, and government services. It also offers maritime and in-flight mobility services; and technical support services, as well as earth stations services to assist prospective users. The company provides its services under the Eutelsat brand directly or through distributors. It serves satellite-based video, business and broadband networks, and mobile services mainly to international telecommunications operators and broadcasters, corporate network integrators, companies, telecom operators, and government agencies in France, Italy, the United Kingdom, rest of Europe, the Americas, the Middle East, Africa, Asia, and internationally. The company was formerly known as Eutelsat Communications S.A. and changed its name to Eutelsat Group in October 2023. Eutelsat Group was founded in 1977 and is headquartered in Issy-les-Moulineaux, France.",1514.0,1.0,2.0,3.0,1.0,1.0,,,,11.34,3425219072.0,1.651,4.96,2.38118,0.93,1668643200.0,3376000000.0,463837504.0,505600000.0,,0.149,0.83075
MERY.PA,REIT - Retail,Real Estate,"Mercialys is one of France's leading real estate companies. It is specialized in the holding, management and transformation of retail spaces, anticipating consumer trends, on its own behalf and for third parties. At December 31, 2023, Mercialys had a real estate portfolio valued at Euro 2.9 billion (including transfer taxes). Its portfolio of 2,038 leases represents an annualized rental base of Euro 175.5 million. Mercialys has been listed on the stock market since October 12, 2005 (ticker: MERY) and has SIIC real estate investment trust (REIT) tax status. Part of the SBF 120 and Euronext Paris Compartment B, it had 93,886,501 shares outstanding at December 31, 2023.",161.0,4.0,4.0,3.0,1.0,3.0,0.99,0.0923,1.5714,9.53,2300538112.0,9.775,12.74,10.2388,0.99,1714348800.0,1197752064.0,-38610124.0,158334000.0,0.188,0.039,0.96892
IPN.PA,Drug Manufacturers - Specialty & Generic,Healthcare,"Ipsen S.A. operates as a biopharmaceutical company worldwide. The company provides drugs in the areas of oncology, neuroscience, and rare diseases. Its product pipeline comprises Cabometyx + Atezolizumab, which is in phase III clinical trial for the treatment of second line metastatic castration-resistant prostate cancer; lenalidomide and rituximab, and Taverik, which is in phase III for the treatment of second line follicular lymphoma; Bylvay, which is in phase III for the treatment of biliary atresia; Dysport, which is in phase III clinical trial for the treatment of chronic and episodic migraine; Fidrisertib, which is in phase II clinical trial for the treatment of fibrodysplasia ossificans progressiva; Elafibranor, which is in phase II for the treatment of primary sclerosing cholangitis, as well as IPN60250; IPN10200, which is in phase II for the treatment of longer-acting neurotoxin aesthetics and therapeutics; IPN60210, which is in phase I clinical trial for the treatment of relapsed/refractory multiple myeloma; and IPN60260 for the treatment of Viral cholestatic disease and is in phase I clinical trial. The company also offers Somatuline, Decapeptyl, Cabometyx, Onivyde, Tazverik, and other oncology products; Dysport and other neurosciences products; and Bylvay, NutropinAq, Increlex, and Sohonos for rare diseases. The company was founded in 1929 and is based in Boulogne-Billancourt, France.",5325.0,8.0,8.0,7.0,7.0,8.0,1.2,0.0099,0.1509,1.19,10004856832.0,99.7,126.7,114.278,1.2,1717027200.0,490200000.0,523862496.0,902499968.0,0.183,0.079,0.82009006
PAR.PA,REIT - Diversified,Real Estate,"Paref SA owns and manages business real estate located primarily in the Paris region. The company manages and leases real estate, offices and commercial spaces, and residences. The company also provides real estate agency services. The company was founded in 1997 and is based in Paris, France.",86.0,,,,,,1.5,0.039100002,1.7603,5.68,126158264.0,37.6,53.0,38.646,1.5,1716940800.0,74570000.0,5052625.0,8023000.0,,-0.198,0.82995003
,,,,,,,,,,,,,,,,,,,,,,,,,
VMX.PA,Software - Infrastructure,Technology,"Verimatrix SA provides security solutions that protect digital content, applications, and devices worldwide. It offers anti-piracy products, including Streamkeeper Pro, which safeguards the OTT content distribution ecosystem by disrupting pirate revenue streams; Streamkeeper Multi-DRM that offers secure content on any screen or platform; Streamkeeper Watermarking, which protects content with invisible client and server-side watermarking that can detect piracy; and Video Content Authority System (VCAS) for evolving networks. The company also provides threat defense solutions, such as App Shield that secures android and iOS apps; Code Shield, which secures code with an enterprise-grade security toolkit; Key Shield, that protects algorithm and builds secure cryptographic architectures; and Extended Threat Defense, a cybersecurity solution. It offers security solutions for various markets comprising automotive, e-sports and gaming, financial services, healthcare, Internet of Things, live sports, media and entertainment, pay TV, and streaming media, as well as for content owners. The company was formerly known as Inside Secure S.A. and changed its name to Verimatrix SA in July 2017. Verimatrix SA was incorporated in 1995 and is based in Meyreuil, France.",237.0,5.0,8.0,9.0,6.0,9.0,,,,,54267712.0,0.253,0.626,0.2884,,,39624000.0,-7104000.0,-9217000.0,,0.006,0.68662
MEMS.PA,Semiconductor Equipment & Materials,Technology,"MEMSCAP, S.A. provides micro-electro-mechanical systems (MEMS) based solutions for aerospace and defense, optical communications, medical, and biomedical markets worldwide. The company offers pressure sensors, pressure transducers, and pressure switches for various applications, such as air data computers, cabin pressure, engine control, altimeters, barometers, cockpit instruments, and air data test sets. It also provides gold coated and titanium-based pressure transducers, plastic domes, line-sets, and related accessories. In addition, the company supplies optical MEMS chips for variable optical attenuators in optical telecommunication markets; and provides the multi-user MEMS processes. Further, it offers mounting brackets, snap holders, non-sterile and sterile domes, and monitoring line sets. MEMSCAP, S.A. was founded in 1997 and is based in Crolles, France.",63.0,,,,,,,,,,33360724.0,2.855,9.9,4.3717,,,5582000.0,,,,-0.128,0.41567
LR.PA,Electrical Equipment & Parts,Industrials,"Legrand SA, together with its subsidiaries, manufactures, distributes, and sells electrical and digital building infrastructures in Europe, North and Central America, and internationally. The company offers energy distribution, protection, and management solutions, such as electric vehicle charging, residential and small commercial panels, switchboards and power cabinets, and UPS devices; and wiring devices, connected home and building control solutions, and guestroom solutions, as well as back, junction, DCL, and floor boxes. It also provides security, communication, and network solutions, including access security, digital home networks, emergency lighting, fire alarms, IT networks, intercom and door entry, and nurse call systems; conduits and cable management solutions comprising trunking, ducts, tubes, floor boxes, columns and feeders, and workstation solutions; industrial products, such as enclosures, connections, transformers and power supply, marking accessories and cable ties, motor control and protection, fuse protection, and industrial plugs and sockets, as well as control, button, and signaling products; installation accessories, including wiring accessories, extension cords, multi-outlet units, cable ties and fasteners, and connection boxes and terminals; and lighting products and accessories. The company's products are used in hotels, offices, data centers, shopping centers, health care, industrial, and residential buildings. It also exports its products to approximately 170 countries. Legrand SA was founded in 1865 and is headquartered in Limoges, France.",32994.0,5.0,3.0,7.0,6.0,5.0,2.09,0.0221,0.5276,1.96,27974791168.0,88.5,107.55,95.9254,2.09,1717113600.0,5039399936.0,939025024.0,1360899968.0,-0.095,0.003,0.52073
AKE.PA,Specialty Chemicals,Basic Materials,"Arkema S.A. manufactures and sells specialty chemicals and advanced materials worldwide. The company operates in three segments: Adhesive Solutions, Advanced Materials and Coating Solutions, and Intermediates. The Adhesive Solutions segment provides solutions for construction, renovation of buildings, DIY, durable goods, and packaging and non-woven applications; and supplies technologies used in building activities for businesses and individuals, including sealants, tiles, flooring adhesives and waterproofing systems, and technologies used in industry, which include automotive, textiles, glazing, flexible and rigid packaging, and hygiene markets. This segment also offers performance polymers, such as specialty polyamides, PVDF, polyimides, fluorospecialties, and polyetherketoneketone; and performance additives which includes molecular sieves, organic peroxides, thiochemicals, and hydrogen peroxide. The Advance Materials and Coating Solutions segment offers coating solutions, including comprising EU/US acrylics and coating resins; coating additives, such as sartomer photocure resins and coatex rheology additives. This segment also provides decorative paints, industrial coatings, and adhesives; and solutions for applications in the paper, superabsorbent, water treatment and oil and gas extraction, and 3D printing and electronics industries. The Intermediates segment provides fluorogases and acrylics; and industrial intermediate chemicals used in construction, refrigeration and air conditioning, automotive, coatings, and water treatment sectors. Arkema S.A. was incorporated in 2003 and is headquartered in Colombes, France.",21100.0,8.0,3.0,3.0,6.0,3.0,3.5,0.0456,0.7592,3.14,8380184064.0,69.15,104.4,74.103,3.5,1715904000.0,4406000128.0,403500000.0,1176000000.0,0.037,0.029,0.20447001
IPH.PA,Biotechnology,Healthcare,"Innate Pharma S.A., a biotechnology company, develops immunotherapies for cancer patients in France and internationally. The company's products include Lacutamab (IPH4102), an anti-KIR3DL2 antibody, which is in Phase II clinical trials for the treatment of cutaneous T-cell and peripheral T-cell lymphoma, as well as in Phase II clinical trials to treat refractory sézary syndrome; Monalizumab, an immune checkpoint inhibitor that is in Phase III clinical trial to treat advanced solid tumors comprising colorectal and lung cancer, as well as head and neck cancer; IPH5201, a blocking antibody that is in Phase II clinical trials targeting the CD39 immunosuppressive pathway; IPH5301, an anti-CD73 antibody targeting the immunosuppressive adenosine pathway to promote antitumor immunity; IPH6401, an BCMA-targeting NK cell engager; and IPH6101, a NKp46-based NK cell engager that targets CD123 proprietary multi-specific antibody format; and IPH62, an B7-H3-targeting NK cell engager. Its products in preclinical trials are IPH43, an anti-MICA/B ADC and IPH45, an antibody drug conjugates (ADC); and IPH67, an undisclosed, multi-specific ANKET. The company has licensing and collaboration agreements with AstraZeneca, Novo Nordisk A/S, Sanofi, and Orega Biotech; and co-development and license agreement with MedImmune Limited. Innate Pharma S.A. was incorporated in 1999 and is headquartered in Marseille, France.",168.0,8.0,8.0,8.0,1.0,8.0,,,,,100100912.0,1.332,2.79,1.76342,,,35503000.0,13058625.0,-18057000.0,,-0.693,-0.58769
ADP.PA,Airports & Air Services,Industrials,"Aeroports de Paris SA owns and operates airports worldwide. The company operates through Aviation, Retail and Services, Real Estate, International and Airport Developments, and Other Activities segments. The Aviation segment provides security and airport safety services, including security checkpoints, screening systems, aircraft rescue, and fire-fighting services. The Retail and Services segment engages in the retail activities, including bars, restaurants, banks, car rentals, and retails shops, as well as leases space for terminals, advertising, restaurant, and car park services. This segment also engages in the production and supply of heat, drinking water, and access to the chilled distribution networks. The Real Estate segment engages in the construction, commercialization, and lease management of office buildings, logistic buildings, and freight terminals; and provides property leasing services for airport terminals, as well as rents serviced land. The International and Airport Developments segment designs and operates airport activities. The Other Activities segment offers telecom and cybersecurity services. Aeroports de Paris SA was incorporated in 1945 and is based in Tremblay-en-France, France.",28174.0,7.0,8.0,4.0,10.0,7.0,3.82,0.0344,0.4916,2.17,20550680576.0,103.1,133.2,110.68,3.82,1717977600.0,10563999744.0,38750000.0,1552999936.0,0.65,0.134,0.61367
